iter	Passed	Remaining
229	895	2996
230	896	2983
231	896	2968
232	897	2954
233	900	2946
234	901	2933
235	901	2919
236	902	2905
237	903	2892
238	904	2878
239	904	2865
240	905	2851
241	906	2839
242	907	2826
243	908	2813
244	909	2801
245	910	2790
246	911	2778
247	912	2767
248	916	2765
249	917	2753
250	918	2741
251	919	2729
252	920	2718
253	921	2706
254	922	2695
255	923	2683
256	924	2672
257	925	2661
258	926	2650
259	927	2638
260	930	2634
261	931	2622
262	931	2611
263	932	2600
264	933	2589
265	934	2578
266	935	2567
267	935	2556
268	936	2544
269	937	2533
270	937	2522
271	938	2511
272	939	2500
273	939	2490
274	940	2479
275	941	2468
276	942	2458
277	944	2452
278	945	2442
279	945	2432
280	946	2421
281	947	2411
282	947	2401
283	948	2390
284	949	2380
285	949	2371
286	950	2361
287	951	2351
288	951	2341
289	952	2331
290	952	2321
291	953	2312
292	954	2302
293	954	2293
294	955	2283
295	956	2274
296	957	2265
297	960	2261
298	960	2252
299	961	2243
300	961	2233
301	962	2224
302	963	2216
303	964	2207
304	966	2201
305	966	2193
306	967	2184
307	968	2175
308	968	2166
309	969	2158
310	970	2149
311	970	2141
312	971	2132
313	972	2124
314	975	2121
315	976	2112
316	976	2104
317	977	2096
318	978	2088
319	978	2079
320	979	2071
321	980	2063
322	980	2055
323	981	2048
324	982	2040
325	983	2032
326	983	2025
327	984	2017
328	985	2009
329	985	2001
330	986	1994
331	987	1986
332	989	1981
333	990	1974
334	990	1966
335	991	1959
336	992	1952
337	993	1945
338	994	1938
339	994	1930
340	995	1923
341	996	1916
342	996	1909
343	997	1901
344	997	1894
345	998	1887
346	999	1880
347	999	1873
348	1000	1866
349	1001	1859
350	1003	1855
351	1004	1848
352	1004	1842
353	1005	1835
354	1006	1828
355	1006	1821
356	1018	1833
357	1019	1829
358	1020	1822
359	1021	1816
360	1022	1810
361	1023	1803
362	1024	1797
363	1025	1791
364	1026	1785
365	1027	1779
366	1028	1773
367	1029	1767
368	1030	1761
369	1030	1755
370	1034	1753
371	1035	1747
372	1036	1741
373	1037	1735
374	1038	1730
375	1039	1725
376	1040	1719
377	1041	1714
378	1042	1708
379	1043	1702
380	1044	1696
381	1045	1690
382	1045	1684
383	1048	1682
384	1049	1676
385	1050	1670
386	1050	1664
387	1051	1658
388	1052	1652
389	1052	1646
390	1053	1640
391	1054	1635
392	1054	1629
393	1055	1623
394	1056	1617
395	1056	1611
396	1057	1606
397	1058	1600
398	1058	1594
399	1059	1589
400	1060	1583
401	1060	1577
402	1063	1576
403	1064	1570
404	1065	1565
405	1065	1559
406	1066	1554
407	1067	1548
408	1067	1543
409	1068	1537
410	1069	1532
411	1069	1526
412	1070	1521
413	1071	1516
414	1071	1510
415	1072	1505
416	1073	1500
417	1073	1495
418	1074	1489
419	1075	1484
420	1076	1480
421	1077	1476
422	1078	1471
423	1079	1466
424	1080	1461
425	1080	1456
426	1081	1451
427	1082	1446
428	1083	1441
429	1083	1436
430	1084	1431
431	1085	1426
432	1085	1421
433	1086	1417
434	1087	1412
435	1087	1407
436	1088	1402
437	1089	1397
438	1089	1392
439	1092	1390
440	1093	1386
441	1094	1381
